Dist	F_r	F_z
0	0.000000	0.000000
1	0.000000	0.000000
2	0.000000	0.000000
3	0.000000	0.000000
4	0.000000	0.000000
5	0.000000	0.000000
6	0.000000	0.000000
7	0.000000	0.000000
8	0.000000	0.000000
9	0.000000	0.000000
10	0.000000	0.000000
11	0.000000	0.000000
12	0.000000	0.000000
13	0.000000	0.000000
14	0.000000	0.000000
15	0.000000	0.000000
16	0.000000	0.000000
17	0.000000	0.000000
18	0.000000	0.000000
19	0.000000	0.000000
0.000000	-11.578984
20	0.000000	-14.285598
21	0.000000	-17.671768
22	0.000000	-21.680813
23	0.000000	-27.404920
24	0.000000	-32.176534
25	0.000000	-21.496955
26	0.000000	-11.488716
27	0.000000	-6.995811
28	0.000000	-4.686003
29	0.000000	-3.244820
30	0.000000	-2.115083
31	0.000000	-1.140491
32	0.000000	-0.555054
33	0.000000	-0.037257
34	0.000000	0.551677
35	0.000000	1.149004
36	0.000000	2.086955
37	0.000000	3.267825
38	0.000000	4.647858
39	0.000000	6.929266
40	0.000000	11.477904
41	0.000000	21.461251
42	0.000000	32.077010
43	0.000000	27.664677
44	0.000000	21.711984
45	0.000000	17.553713
46	0.000000	14.407625
47	0.000000	11.563008
48	0.000000	9.256388
49	0.000000	7.412698
50	0.000000	5.684758
51	0.000000	4.146816
52	0.000000	2.917440
53	0.000000	1.809113
54	0.000000	0.848628
55	0.000000	0.314218
56	0.000000	0.122534
57	0.000000	0.050515
58	0.000000	0.018974
59	0.000000	0.007434
60	0.000000	0.002919
61	0.000000	0.001315
62	0.000000	0.000510
63	0.000000	0.000171
64	0.000000	0.000078
65	0.000000	0.000033
66	0.000000	0.000010
