Keyname,Name,Type,Date,Price,Delivery_time,Info,T_nom,I_rms_nom,omega_nom,U_rms_nom,P_nom,Life_nom,T_max,I_rms_max,P_max,U_rms_max,omega_max,R_25,L,ktc,alpha_c,poles,J_rotor,d,T_fric,T_cog,Temp_max,RT1,RT2,CT1,CT2,F_axial,F_radial,m,D_motor,L_motor,D_shaft,L_shaft,T_100,S,K_nom,K_max,tau_m,tau_e,P_dis,tau_T1,tau_T2,Temp_amb,Temp_initial,20sim_model
,,,,euro,weeks,,N.m,A,rev/min,V,W,hour,N.m,A,W,V,rpm,ohm,H,1/degC,1/degC,-,kg.m2,N.m.s/rad,N.m,N.m,degC,degC/W,degC/W,J/degC,J/degC,N,N,kg,m,m,m,m,N.m,N.m.s/rad,N.m/A,N.m/A,s,s,W,s,s,degC,degC, 
,,,,,,,F_nom,I_nom,v_nom,,,,F_max,,,,v_max,,,,alpha_c,pitch,m_motor,d,F_fric,F_cog,,,,,,,,,,,,,F_100,S,K_nom,K_max,,,,,,,, 
,,,,,,,N,A,m/s,,,,N,,,,m/s,,,,1/degC,m,kg,N.s/m,N,N,,,,,,,,,,,,,N,N.s/m,N/A,N/A,,,,,,,, 
motor key,motor name,motor type,date of file,motor price,average delivery time,motor information,nominal torque,nominal current,nominal speed,nominal voltage,nominal power,nominal life,maximum torque,maximum rms current,maximum power,maximum rms voltage,maximum speed,resistance at 25 {degC},inductance at 25 {degC},temperature coefficient of torque constant,temperature coefficient resistance copper,number of poles,inertia of rotor,damping,friction torque,cogging torque,maximum temperature,thermal resistance (rotor to stator),thermal resistance (stator to environment),thermal capacity rotor,thermal capacity stator,maximum axial force,maximum radial force,motor mass,motor diameter,motor length,shaft diameter,shaft length,maximum torque at 100% duty cycle,motor steepness,torque constant at nom current,torque constant at max current,mechanical time constant,electrical time constant,dissipated internal power,rotor temperature time constant,stator temperature time constant,ambient temperature,working temperature,20-sim model of motor
118588,Maxon RE 13,3,31-Oct-05,0,stock,graphite brushes,0.002959452,0.587121955,6550,5.877558302,2.029932876,0,0.0102756,2.03856347,3,9.550937882,16000,3.531898863,0.00011,-0.00105,0.00392,2,4.83513E-08,1.112E-07,0.0002203,0,85,7,33,0.65,11.5,0.8,1.4,0.023,0.013,0.0345,0.0015,0.006,0,8.70784E-06,0.005545739,0.005040608,0.006721265,0,0,4,0,25,25, 
118743,Maxon RE 25,3,31-Oct-05,0,stock,precious metal brushes,0.029303579,1.249797406,2430,8.797597106,7.456861176,0,0.129058221,5.504332108,10,13.80392209,5500,2.180101012,0.00024,-0.00105,0.00392,2,1.03221E-06,3.705E-07,0.0004286,0,100,3.1,14,3.99,65,0,0,0.13,0.025,0.0545,0.003,0.0128,0,0.000261245,0.023865036,0.023446663,0.004093369,0,0,12,0,25,25, 
118800,Maxon RE 36,3,31-Oct-05,0,stock,graphite brushes,0.0898,1.59,3510,25.8854381,33.00749569,0,0.865,15.3,70,50.45685357,8200,2.75,0.00049,-0.00105,0.00392,2,0.00000654,0.000001974,0.002534,0,125,3.4,6.4,12.6,175,0,0,0.35,0.036,0.0712,0.006,0.02,0,0.001245648,0.058528035,0.056535948,0.006,0,0,41,0,25,25, 
118821,Maxon RE 75,3,31-Oct-05,0,stock,graphite brushes,0.840841568,7.232460538,1445,20.7208915,127.2363326,0,11.43782857,98.38196265,250,50.17409685,4000,0.365920734,0.00016,-0.00105,0.00392,4,0.000142066,0.00008616,0.01,0,125,1.6,1.3,65.95,1400,0,0,2.8,0.075,0.2015,0.014,0.0329,0,0.038989438,0.119444731,0.116259406,0.003846114,0,0,102,0,25,25, 
252463 s,Maxon EC 45,1,31-Oct-05,0,stock,sine commutation,0.311017673,3.559925093,5000,28.9255536,162.8484724,0,5.141739975,55.63078029,156,56.08433301,10000,0.728,0.00035,-0.00105,0.00392,4,0.00002,0.0000191,0.0072,0,125,1,3.1,32,500,0,0,1,0.045,0.1165,0.008,0.026,0,0.007822891,0.09242617,0.09242617,0.0026,0,0,32,1550,25,25, 
167131 s,Maxon EC 60,1,31-Oct-05,0,stock,sine commutation,0.719424718,4.327431879,5000,56.27553966,376.6899008,0,6.597344571,36.56983597,312,76.78628816,7000,1.12,0.00082,-0.00105,0.00392,2,0.0000831,0.00007353,0.02,0,125,0.5,1.3,76,923.0769231,0,0,2.45,0.06,0.1773,0.0135,0.032,0,0.019372382,0.180403997,0.180403997,0.0043,0,0,38,1200,25,25, 
